epoch,training_loss,training_iou,validation_loss,validation_iou
0,0.19520064451913724,0.5768391023357881,0.08755450509488583,0.6439732164144516
1,0.06278395490057168,0.6629630012073736,0.0435714159005632,0.7087711729109287
10,0.013550669859409675,0.7683488178527218,0.09615813754498959,0.37590957557161647
11,0.01336381599392699,0.7652563617147249,0.017434030868268263,0.7780492082238197
12,0.012031546858107221,0.7744731485158548,0.0153013294232854,0.7948440313339233
13,0.011177467417785492,0.7846672541793736,0.012656003838249793,0.8113456442952156
14,0.01146945451525436,0.7873378813951865,0.014929117275945222,0.7320468003551165
15,0.00960460516902479,0.815558540410009,0.01419532677391544,0.7900319074591001
16,0.009410590896832532,0.8156864293690386,0.016550328718343128,0.7851311415433884
17,0.009544960736971477,0.8188317246820734,0.011298033311807862,0.8328663185238838
18,0.009328812446402407,0.8114660807039545,0.01079789960446457,0.8018543235957623
19,0.009254801322588291,0.8247042736787905,0.01403476054353329,0.7558432326962551
2,0.03938218619374708,0.6878024106738211,0.03588163355986277,0.690150628487269
20,0.008170121903370681,0.8404307762781779,0.011054969489729652,0.8297156865398089
21,0.007232254205121733,0.857901301877252,0.011338760688280066,0.8380720242857933
22,0.007122717433791051,0.8587493910186592,0.011872602277435362,0.8313581297794977
23,0.007086092164611508,0.8543624000987787,0.01089013641467318,0.8258609225352606
24,0.00748479984240371,0.845425838711618,0.013611508475150913,0.8316442867120107
25,0.007349520373083223,0.850473151124757,0.009555552892076472,0.8413153092066447
26,0.007736136186760904,0.8383719708727694,0.011569719814967053,0.8500603958964348
27,0.006864908306548993,0.8590223131508663,0.010336451785406098,0.8146445577343305
28,0.006372745833948426,0.8629206932824234,0.01559169816512925,0.791810505092144
29,0.006722901661441415,0.8587786288096987,0.0098261680007757,0.8382076943914095
3,0.030648886386690468,0.7179434621471098,0.03214835833447675,0.7093225580950578
30,0.005644257686197244,0.8777527980420782,0.009540558176619621,0.8383326431115469
31,0.005740498232751571,0.8780991250071032,0.011037831282010302,0.8158020849029223
32,0.006041431703187269,0.8690932687671705,0.00997896741804046,0.8055299334228039
33,0.005993766785096163,0.871752961613666,0.010278425751797235,0.7752151476840178
34,0.00585634590276442,0.8715093026216003,0.007620901145855896,0.8561470483740171
35,0.00511552937510798,0.8900051486903223,0.00933901418466121,0.8512119526664416
36,0.005791303319000136,0.8704370760369575,0.008576715985933939,0.8574647642672062
37,0.00519813825215759,0.8817080732049614,0.009561072962242179,0.8501196106274923
38,0.004930223694242452,0.8882407018508034,0.009172635958141958,0.8482278113563856
39,0.004527435063962536,0.8970164293530344,0.00799224220099859,0.8449678954978784
4,0.023515277906139005,0.7498439529846455,0.029857534488352638,0.658386267721653
40,0.004565716188550852,0.901639017565497,0.007243895098023738,0.8425785551468531
41,0.004556972006250216,0.8969644171068039,0.011917090674008554,0.8321028600136439
42,0.004290836453758951,0.8997032813642217,0.011772750338423066,0.8304834614197413
43,0.004292306541090553,0.8990148257935184,0.007681734937553604,0.8646920844912529
44,0.004236660580600387,0.9059804952007601,0.008642517122401236,0.8354498967528343
45,0.004109107012774838,0.9075599463506677,0.01662424943060614,0.8233378405372301
46,0.004274132292872916,0.895718973258446,0.009638858139320897,0.8610533277193705
47,0.004437618296133119,0.8993928775020029,0.011419707181630656,0.8382830396294594
48,0.0048625621564643475,0.890379723461195,0.012135601515183225,0.8366961181163788
49,0.004608257782067461,0.8919987281163534,0.011102850286988541,0.8539155150453249
5,0.021110385913273383,0.7464758383816686,0.020267094000397872,0.7429971297581991
50,0.004286775803032877,0.8988139149786412,0.009500672778813168,0.8586757704615593
51,0.0038332324006712473,0.9133993517393353,0.008051565857992196,0.8516308292746544
52,0.0037640103810713038,0.9100150322091991,0.0077620989419907955,0.8575073604782423
53,0.004082464875289421,0.9024774624013353,0.006857568005216308,0.8661341269810995
54,0.0038878206282736325,0.9114143403097131,0.009619395835519148,0.8641534248987833
55,0.003693214299200081,0.9152890772655092,0.009374121344687106,0.8435837998986244
56,0.0034613716697063424,0.9202344999916252,0.010990382894912424,0.8252137750387192
57,0.0034435468019339546,0.920333508787484,0.010014768073839756,0.7191223197927078
58,0.007226155061895649,0.8321615916559066,0.013829621942325806,0.7836750838905573
59,0.0047333193220326615,0.8945244900111494,0.011163493453447396,0.851305096099774
6,0.018982311368159865,0.7488920236455983,0.0172885088250041,0.7673599496483803
60,0.0038114558656475155,0.913254727577341,0.008375186182092875,0.829560020317634
61,0.00336239756427534,0.9236647973115417,0.010965304400694246,0.8695266246795654
62,0.0033746395345734454,0.9217371502141843,0.008599191501465006,0.8637515554825465
63,0.0031850235402883812,0.9273603113218286,0.008757148156291805,0.8745886161923409
64,0.0031156638816491455,0.9270686836078249,0.009213530463360561,0.8643266757329305
65,0.0030283654903479175,0.9296031018783306,0.009103983369035026,0.8689545666178068
66,0.003091566783814937,0.9305730537436474,0.008062438816220189,0.8213030944267908
67,0.003027340601969125,0.9263264961626337,0.008701061703807985,0.8601394643386205
68,0.0028800973374310925,0.9325256957404915,0.009012229823080512,0.8768981471657753
69,0.002826336603986378,0.937067161346304,0.00920240065897815,0.8784285758932432
7,0.016696673090002317,0.7622658473321762,0.017292314131433766,0.7808990900715193
70,0.002802455206348122,0.934525250703439,0.01200777865111983,0.8603270202875137
71,0.002827942044870264,0.934112885217557,0.008097468618264733,0.8290889163812002
72,0.003409123202068624,0.9126850565274557,0.008401271130423993,0.8734101504087448
73,0.0029448768024964407,0.9347162856452766,0.00966512480711875,0.8547746514280637
74,0.0029186798639638327,0.9304907006778936,0.011269474130434295,0.8325644147892793
75,0.0026285636356507226,0.940481760721097,0.013011173432460055,0.8583238447705904
76,0.0026178006510967494,0.9434253258266668,0.010279273948981427,0.8471493124961853
77,0.0027003833132892333,0.939380285383641,0.010636234811196724,0.8640923698743185
78,0.0026635030477211393,0.9349679021999754,0.011346289873472415,0.848585456609726
79,0.0024894630662219107,0.9421511429479752,0.009269956368370913,0.8633235767483711
8,0.015142398522417435,0.7601266119671964,0.020623841691606987,0.6700770060221354
80,0.0026929867132727443,0.9363545700051319,0.008994750052806921,0.8398917888601621
81,0.0038038014659080013,0.903173419250839,0.011257255304371938,0.7900694174071153
82,0.0037051193474995337,0.9053748167794327,0.008688103189342655,0.8712145437796911
83,0.0027076681566039294,0.9357333614908415,0.011261945498214724,0.8665340865651766
84,0.002537925468072638,0.9436808680665905,0.010085192858241498,0.8731765498717626
85,0.002411563700097131,0.9434837555063182,0.0110685475859403,0.8713287338614464
86,0.0023257583607223698,0.9482085204672539,0.009651236071173722,0.8747878621021906
87,0.0023087675578828,0.9498030947542738,0.009309740465444824,0.8770764668782552
88,0.0023012883384476534,0.9497173771090891,0.010091579805399912,0.8788436974088351
89,0.0022685597229203016,0.9511857409586851,0.009866829442520006,0.8722147544225057
9,0.014616821828330386,0.7662772522575554,0.0170015756933329,0.7435877049962679
90,0.0022996486012085244,0.9478681895924711,0.01138296707358677,0.8741942023237547
91,0.003071567269802179,0.9207249366003891,0.013305653614224866,0.8315254760285219
92,0.002756070894264113,0.930924132637594,0.01024547311438558,0.8484895452857018
93,0.0032245628803368957,0.9166075340632734,0.015957308574191604,0.7766137992342314
